order_item_id,order_id,product_id,quantity,unit_price,line_total
22,9,73,1.0,156000.0,156000.0
32,14,48,1.0,25000.0,25000.0
77,36,18,1.0,140000.0,140000.0
90,41,48,5.0,25000.0,125000.0
99,44,48,4.0,25000.0,100000.0
106,47,48,3.0,25000.0,75000.0
130,57,48,3.0,25000.0,75000.0
214,86,95,1.0,82000.0,82000.0
242,97,95,3.0,82000.0,246000.0
260,105,9991,1.0,76000.0,76000.0
323,130,48,2.0,25000.0,50000.0
412,164,73,3.0,156000.0,468000.0
454,179,18,3.0,140000.0,420000.0
482,192,95,5.0,82000.0,410000.0
496,196,73,2.0,156000.0,312000.0
504,199,73,5.0,156000.0,780000.0
547,215,48,1.0,25000.0,25000.0
555,218,18,3.0,140000.0,420000.0
572,226,73,3.0,156000.0,468000.0
575,228,18,2.0,140000.0,280000.0
586,231,48,2.0,25000.0,50000.0
629,248,95,1.0,82000.0,82000.0
651,257,48,1.0,25000.0,25000.0
655,258,18,3.0,140000.0,420000.0
667,263,73,4.0,156000.0,624000.0
701,278,9992,2.0,145000.0,290000.0
